SEQ_NM,WEEKS,DAYS,FMLE_CURNT_CNT,SPAWN_RT,AVRG_SPAWN_WT,CNT_PER_FEED_QY,AVRG_WGH,CNT_PER_BEV_QY,BEV_FODR_RATE,TOP_TP,LWET_TP,TOP_HMDT,LWET_HMDT
1652,13,3,121342,0,0,75.6,0,118,1.57,21,26,57,73
1653,13,4,121312,0,0,74.7,0,122,1.71,21,25,53,70
1654,13,5,121293,0,0,76,0,100,1.32,18,23,51,65
1655,13,6,121283,0,0,71.8,0,130,1.82,21,24,45,60
1656,13,7,121279,0,0,74.7,0,141,1.9,21,25,42,62
1657,14,1,121262,0,0,77.7,1286,127,1.64,21,24,47,64
1658,14,2,121249,0,0,97.6,0,150,1.54,21,27,44,66
1659,14,3,121246,0,0,84.3,0,131,1.56,21,25,50,61
1660,14,4,121230,0,0,81.9,0,134,1.65,21,26,32,63
1661,14,5,121222,0,0,78.7,0,129,1.64,21,27,30,62
1662,14,6,121219,0,0,81.2,0,129,1.59,21,27,37,65
1663,14,7,121212,0,0,80.9,1379,144,1.79,21,27,25,65
1664,15,1,121203,0,0,83,0,132,1.6,21,25,29,62
1665,15,2,121197,0,0,81.6,0,135,1.66,21.5,26.2,28,62
1666,15,3,121190,0,0,90.7,0,132,1.46,21.5,26.2,43,63
1667,15,4,121179,0,0,81.4,0,129,1.6,21.6,26.1,33,65
1668,15,5,121174,0,0,69.5,0,113,1.63,21.6,27,42,65
1669,15,6,121169,0,0,72.2,0,122,1.7,21.6,26.6,40,65
1670,15,7,121169,0,0,82.6,1441,115,1.4,21,28,36,64
1671,16,1,121160,0,0,81.6,0,136,1.68,21,27,42,65
1672,16,2,121154,0,0,81.3,0,122,1.5,21,28,41,68
1673,16,3,121146,0,0,82.1,1478,120,1.47,22,28,46,69
1674,16,4,121143,0,0,80,0,122,1.54,22,30,46,71
1675,16,5,121141,0,0,78.3,0,115,1.48,22.7,29,45,70
1676,16,6,121139,0,0,84.9,0,127,1.5,23,26,53,67
1677,16,7,121136,0,0,77.3,1510,118,1.53,23,26,64,78
1678,17,1,121129,0,0,80,0,118,1.48,21,25,47,78
1679,17,2,121127,0,0,80.2,0,110,1.38,21.1,26,40,71
1680,17,3,121120,0,0,78.8,0,112,1.42,20,27,34,70
1681,17,4,121117,0,0,80.8,0,120,1.49,21,30,32,71
1682,17,5,121114,0,0,79.5,0,160,2.02,22,32,46,72
1683,17,6,121114,0,0,78.9,0,113,1.44,22,30,36,73
1684,17,7,121108,0,0,79.4,1588,123,1.56,22,31,34,72
1685,18,1,121107,0,0,76.3,0,111,1.46,21,25,57,71
1686,18,2,121099,0,0,80.4,0,114,1.42,19,25,32,67
1687,18,3,121094,0,0,81.7,0,130,1.6,21,27,35,68
